 
****************************************
Report : area
Design : DEC_LUT_Decoder52bits_clk
Version: U-2022.12-SP6
Date   : Sat May 17 18:31:20 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         8585
Number of nets:                         46405
Number of cells:                        41142
Number of combinational cells:          40887
Number of sequential cells:               125
Number of macros/black boxes:               0
Number of buf/inv:                       8299
Number of references:                     317

Combinational area:             741171.310013
Buf/Inv area:                   108274.319214
Noncombinational area:           10111.852402
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                751283.162415
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
div_9041_u_div_u_add_PartRem_8_6    1434.2832      0.2    1434.2832      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_689
div_9041_u_div_u_add_PartRem_8_7    1456.1568      0.2    1456.1568      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_496
div_9041_u_div_u_add_PartRem_9_1    1140.5520      0.2    1140.5520      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_399
div_9041_u_div_u_add_PartRem_9_2    1206.1728      0.2    1206.1728      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_624
div_9041_u_div_u_add_PartRem_9_3    1318.6656      0.2    1318.6656      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_695
div_9041_u_div_u_add_PartRem_9_4    1193.6736      0.2    1193.6736      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_604
div_9041_u_div_u_add_PartRem_9_5    1156.1760      0.2    1156.1760      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_446
div_9041_u_div_u_add_PartRem_9_6    1296.7920      0.2    1296.7920      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_636
div_9041_u_div_u_add_PartRem_9_7    1437.4080      0.2    1437.4080      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_644
div_9041_u_div_u_inc_QInc           4418.4672      0.6    4418.4672      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW_inc_6
mult_9036                           2899.8144      0.4    2899.8144      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW_mult_uns_0
sub_9017                           16298.9567      2.2   16298.9567      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_sub_8
sub_9036                            1031.1840      0.1    1031.1840      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_sub_1
--------------------------------  -----------  -------  -----------  ----------  ------  ---------------------------------------
Total                                                   741171.3100  10111.8524  0.0000

1
