 
****************************************
Report : area
Design : Tradeoff_52bits
Version: U-2022.12-SP6
Date   : Sun May 11 17:04:07 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         8963
Number of nets:                         20952
Number of cells:                        15160
Number of combinational cells:          14769
Number of sequential cells:               252
Number of macros/black boxes:               0
Number of buf/inv:                       3649
Number of references:                     263

Combinational area:             268173.458896
Buf/Inv area:                    37606.967624
Noncombinational area:           16667.683044
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                284841.141941
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
div_118_u_div_u_add_PartRem_6_4      862.4448      0.3     862.4448      0.0000  0.0000  Tradeoff_52bits_DW01_add_352
div_118_u_div_u_add_PartRem_6_5      915.5664      0.3     915.5664      0.0000  0.0000  Tradeoff_52bits_DW01_add_394
div_118_u_div_u_add_PartRem_6_6      918.6912      0.3     918.6912      0.0000  0.0000  Tradeoff_52bits_DW01_add_299
div_118_u_div_u_add_PartRem_6_7      868.6944      0.3     868.6944      0.0000  0.0000  Tradeoff_52bits_DW01_add_329
div_118_u_div_u_add_PartRem_7_1      884.3184      0.3     884.3184      0.0000  0.0000  Tradeoff_52bits_DW01_add_366
div_118_u_div_u_add_PartRem_7_2      915.5664      0.3     915.5664      0.0000  0.0000  Tradeoff_52bits_DW01_add_380
div_118_u_div_u_add_PartRem_7_3      865.5696      0.3     865.5696      0.0000  0.0000  Tradeoff_52bits_DW01_add_317
div_118_u_div_u_add_PartRem_7_4      940.5648      0.3     940.5648      0.0000  0.0000  Tradeoff_52bits_DW01_add_353
div_118_u_div_u_add_PartRem_7_5      924.9408      0.3     924.9408      0.0000  0.0000  Tradeoff_52bits_DW01_add_395
div_118_u_div_u_add_PartRem_7_6      934.3152      0.3     934.3152      0.0000  0.0000  Tradeoff_52bits_DW01_add_300
div_118_u_div_u_add_PartRem_7_7      946.8144      0.3     946.8144      0.0000  0.0000  Tradeoff_52bits_DW01_add_330
div_118_u_div_u_add_PartRem_8_1      865.5696      0.3     865.5696      0.0000  0.0000  Tradeoff_52bits_DW01_add_367
div_118_u_div_u_add_PartRem_8_2      843.6960      0.3     843.6960      0.0000  0.0000  Tradeoff_52bits_DW01_add_381
div_118_u_div_u_add_PartRem_8_3      871.8192      0.3     871.8192      0.0000  0.0000  Tradeoff_52bits_DW01_add_318
div_118_u_div_u_add_PartRem_8_4      896.8176      0.3     896.8176      0.0000  0.0000  Tradeoff_52bits_DW01_add_354
div_118_u_div_u_add_PartRem_8_5      937.4400      0.3     937.4400      0.0000  0.0000  Tradeoff_52bits_DW01_add_396
div_118_u_div_u_add_PartRem_8_6      946.8144      0.3     946.8144      0.0000  0.0000  Tradeoff_52bits_DW01_add_301
div_118_u_div_u_add_PartRem_8_7      978.0624      0.3     978.0624      0.0000  0.0000  Tradeoff_52bits_DW01_add_331
div_118_u_div_u_add_PartRem_9_1      865.5696      0.3     865.5696      0.0000  0.0000  Tradeoff_52bits_DW01_add_355
div_118_u_div_u_add_PartRem_9_2      918.6912      0.3     918.6912      0.0000  0.0000  Tradeoff_52bits_DW01_add_369
div_118_u_div_u_add_PartRem_9_3      856.1952      0.3     856.1952      0.0000  0.0000  Tradeoff_52bits_DW01_add_319
div_118_u_div_u_add_PartRem_9_4     1078.0560      0.4    1078.0560      0.0000  0.0000  Tradeoff_52bits_DW01_add_342
div_118_u_div_u_add_PartRem_9_5      865.5696      0.3     865.5696      0.0000  0.0000  Tradeoff_52bits_DW01_add_397
div_118_u_div_u_add_PartRem_9_6     1024.9344      0.4    1024.9344      0.0000  0.0000  Tradeoff_52bits_DW01_add_302
div_118_u_div_u_add_PartRem_9_7      903.0672      0.3     903.0672      0.0000  0.0000  Tradeoff_52bits_DW01_add_332
div_85                             52846.6170     18.6   52846.6170      0.0000  0.0000  Tradeoff_52bits_DW_div_uns_7
lLUT_inst                           5462.1504      1.9    5462.1504      0.0000  0.0000  SEC_lLUT52bits
mult_113                            4702.8239      1.7    4702.8239      0.0000  0.0000  Tradeoff_52bits_DW_mult_uns_1
mult_113_2                          4715.3231      1.7    4715.3231      0.0000  0.0000  Tradeoff_52bits_DW_mult_uns_2
mult_89                             2899.8144      1.0    2899.8144      0.0000  0.0000  Tradeoff_52bits_DW_mult_uns_0
r468                                 278.1072      0.1     278.1072      0.0000  0.0000  Tradeoff_52bits_DW01_inc_0
rLUT_inst                           6099.6096      2.1    6099.6096      0.0000  0.0000  SEC_rLUT52bits
sub_0_root_sub_0_root_sub_113_4     4509.0864      1.6    4509.0864      0.0000  0.0000  Tradeoff_52bits_DW01_sub_5
sub_1_root_sub_0_root_sub_113_4     4509.0864      1.6    4509.0864      0.0000  0.0000  Tradeoff_52bits_DW01_sub_6
sub_59                              1040.5584      0.4    1040.5584      0.0000  0.0000  Tradeoff_52bits_DW01_sub_1
sub_89                              1031.1840      0.4    1031.1840      0.0000  0.0000  Tradeoff_52bits_DW01_sub_4
--------------------------------  -----------  -------  -----------  ----------  ------  -----------------------------
Total                                                   268173.4589  16667.6830  0.0000

1
